Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
DFAM,Dafam Property Indonesia Tbk.,2018-04-27,1899852850,Pengembangan,Consumer Cyclicals,570,1082916124500,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-04-27,2022-04-16
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19,5541165000,Utama,Infrastructures,202,1119315330000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2007-12-19,2022-04-16
DGNS,Diagnos Laboratorium Utama Tbk,2021-01-15,1250000000,Pengembangan,Healthcare,414,517500000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2021-01-15 09:00:00,2022-04-15 16:00:00,2021-01-15,2022-04-16
DIGI,Arkadia Digital Media Tbk.,2018-09-18,1625000000,Pengembangan,Consumer Cyclicals,70,113750000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-09-18,2022-04-16
DILD,Intiland Development Tbk.,1991-09-04,10365854185,Utama,Properties & Real Estate,146,1513414711010,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DIVA,Distribusi Voucher Nusantara T,2018-11-27,1428571400,Pengembangan,Technology,1100,1571428540000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-11-27,2022-04-16
DKFT,Central Omega Resources Tbk.,1997-11-21,5638246600,Pengembangan,Basic Materials,158,890842962800,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DLTA,Delta Djakarta Tbk.,1984-02-27,800659050,Utama,Consumer Non-Cyclicals,3790,3034497799500,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DMAS,Puradelta Lestari Tbk.,2015-05-29,48198111100,Utama,Properties & Real Estate,171,8241876998100,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2015-05-29,2022-04-16
DMMX,Digital Mediatama Maxima Tbk.,2019-10-21,7692307700,Pengembangan,Technology,1600,12307692320000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2019-10-21,2022-04-16
DMND,Diamond Food Indonesia Tbk.,2020-01-22,9468359000,Utama,Consumer Non-Cyclicals,815,7716712585000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2020-01-22,2022-04-16
DNAR,Bank Oke Indonesia Tbk.,2014-07-11,13816569569,Utama,Financials,226,3122544722594,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2014-07-11,2022-04-16
DNET,Indoritel Makmur Internasional,2000-12-11,14184000000,Pengembangan,Financials,3180,45105120000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DOID,Delta Dunia Makmur Tbk.,2001-06-15,8621173232,Utama,Energy,610,5258915671520,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-06-15,2022-04-16
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08,331129952,Utama,Basic Materials,396,131127460992,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DPUM,Dua Putra Utama Makmur Tbk.,2015-12-08,4175000000,Utama,Consumer Non-Cyclicals,50,208750000000,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2015-12-08,2022-04-16
DRMA,Dharma Polimetal Tbk.,2021-12-20,4705882300,Utama,Consumer Cyclicals,535,2517647030500,2021-12-20 09:00:00,2022-04-15 15:59:00,2021-12-20 09:00:00,2022-04-15 16:00:00,2021-12-20,2022-04-16
DSFI,Dharma Samudera Fishing Indust,2000-03-24,1857135500,Utama,Consumer Non-Cyclicals,98,181999279000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14,10599842400,Utama,Consumer Non-Cyclicals,670,7101894408000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2013-06-14,2022-04-16
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10,770552320,Utama,Energy,35575,27412398784000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2009-12-10,2022-04-16
